category,model_type,models,versions,files
NSFW,LORA,141890,181408,193872
NSFW,Checkpoint,3594,8313,9163
NSFW,LoCon,1411,2323,2440
NSFW,TextualInversion,1053,1289,1429
NSFW,Workflows,530,1143,1255
NSFW,Wildcards,148,251,258
NSFW,Poses,139,165,166
NSFW,DoRA,131,261,283
NSFW,Other,107,220,225
NSFW,Hypernetwork,36,53,58
NSFW,Detection,23,51,51
NSFW,MotionModule,14,24,24
NSFW,AestheticGradient,13,16,17
NSFW,VAE,5,5,5
NSFW,Controlnet,3,3,3
NSFW,Upscaler,1,1,1
non-NSFW/unknown,LORA,408937,514292,534872
non-NSFW/unknown,Checkpoint,14388,30681,34157
non-NSFW/unknown,TextualInversion,12278,14143,14900
non-NSFW/unknown,LoCon,12252,16872,17293
non-NSFW/unknown,Workflows,4991,7894,8155
non-NSFW/unknown,Other,910,1893,1928
non-NSFW/unknown,Wildcards,885,1497,1568
non-NSFW/unknown,DoRA,762,1147,1217
non-NSFW/unknown,Poses,568,1002,1003
non-NSFW/unknown,Hypernetwork,347,409,422
non-NSFW/unknown,VAE,154,280,221
non-NSFW/unknown,Controlnet,99,221,266
non-NSFW/unknown,AestheticGradient,90,91,91
non-NSFW/unknown,MotionModule,74,154,163
non-NSFW/unknown,Detection,41,89,86
non-NSFW/unknown,Upscaler,35,54,67
