category,model_nsfwLevel,models
NSFW,60,122960
NSFW,28,19013
NSFW,,7106
NSFW,1,7
NSFW,7,2
NSFW,5,2
NSFW,2,2
NSFW,25,1
NSFW,24,1
NSFW,22,1
NSFW,20,1
NSFW,8,1
NSFW,6,1
non-NSFW/unknown,1,153644
non-NSFW/unknown,3,46208
non-NSFW/unknown,7,45206
non-NSFW/unknown,5,28941
non-NSFW/unknown,,28819
non-NSFW/unknown,15,19174
non-NSFW/unknown,31,15550
non-NSFW/unknown,4,12271
non-NSFW/unknown,6,12127
non-NSFW/unknown,13,8255
non-NSFW/unknown,9,7390
non-NSFW/unknown,2,7280
non-NSFW/unknown,29,6353
non-NSFW/unknown,23,6064
non-NSFW/unknown,12,5603
non-NSFW/unknown,14,5423
non-NSFW/unknown,28,5094
non-NSFW/unknown,30,4931
non-NSFW/unknown,11,4752
non-NSFW/unknown,16,4110
non-NSFW/unknown,21,3473
non-NSFW/unknown,24,3241
non-NSFW/unknown,8,3205
non-NSFW/unknown,25,3113
non-NSFW/unknown,17,2859
non-NSFW/unknown,20,2802
non-NSFW/unknown,22,2322
non-NSFW/unknown,27,2084
non-NSFW/unknown,19,1780
non-NSFW/unknown,60,1384
non-NSFW/unknown,10,1320
non-NSFW/unknown,26,825
non-NSFW/unknown,18,628
non-NSFW/unknown,63,205
non-NSFW/unknown,33,130
non-NSFW/unknown,61,104
non-NSFW/unknown,62,34
non-NSFW/unknown,35,25
non-NSFW/unknown,39,18
non-NSFW/unknown,37,12
non-NSFW/unknown,0,10
non-NSFW/unknown,47,9
non-NSFW/unknown,45,5
non-NSFW/unknown,36,4
non-NSFW/unknown,56,3
non-NSFW/unknown,49,3
non-NSFW/unknown,44,3
non-NSFW/unknown,38,3
non-NSFW/unknown,55,2
non-NSFW/unknown,51,2
non-NSFW/unknown,41,2
non-NSFW/unknown,40,2
non-NSFW/unknown,57,1
non-NSFW/unknown,54,1
non-NSFW/unknown,53,1
non-NSFW/unknown,48,1
