base_model,nsfw_models,non_nsfw_unknown_models,appears_in_both_categories,total_models
Illustrious,71557,136698,1,208255
Pony,51936,113160,1,165096
SD 1.5,17846,140637,1,158483
SDXL 1.0,9682,43365,1,53047
Flux.1 D,6887,44631,1,51518
Other,1274,8438,1,9712
NoobAI,1960,5895,1,7855
Hunyuan Video,357,1494,1,1851
Qwen,343,1103,1,1446
Wan Video 14B t2v,344,801,1,1145
SD 2.1 768,26,1017,1,1043
Flux.1 S,184,751,1,935
Wan Video 2.2 T2V-A14B,321,593,1,914
Wan Video 2.2 I2V-A14B,298,493,1,791
Chroma,290,362,1,652
Wan Video,127,481,1,608
Flux.1 Kontext,42,546,1,588
SD 1.4,84,444,1,528
Wan Video 14B i2v 480p,152,321,1,473
NULL/unknown,98,374,1,472
SD 3.5 Large,56,333,1,389
SD 2.1,38,322,1,360
SDXL Lightning,65,253,1,318
SD 2.0,81,223,1,304
Wan Video 14B i2v 720p,74,176,1,250
SDXL 1.0 LCM,50,189,1,239
SDXL Hyper,81,135,1,216
SDXL Turbo,28,186,1,214
Flux.1 Krea,48,149,1,197
SD 1.5 LCM,23,112,1,135
SD 3.5,17,111,1,128
SD 3,5,122,1,127
SD 3.5 Medium,17,108,1,125
HiDream,10,112,1,122
Wan Video 2.2 TI2V-5B,49,54,1,103
SDXL 0.9,4,94,1,98
LTXV,2,94,1,96
SD 1.5 Hyper,31,65,1,96
Lumina,8,78,1,86
Wan Video 1.3B t2v,32,52,1,84
SD 2.0 768,6,67,1,73
Stable Cascade,3,70,1,73
Hunyuan 1,4,56,1,60
PixArt E,10,45,1,55
Kolors,2,38,1,40
PixArt a,9,25,1,34
CogVideoX,8,19,1,27
SD 3.5 Large Turbo,6,18,1,24
Playground v2,2,14,1,16
Pony V7,3,11,1,14
AuraFlow,1,11,1,12
SDXL Distilled,2,9,1,11
SVD XT,1,10,1,11
Mochi,1,7,1,8
SD 2.1 Unclip,1,5,1,6
SVD,1,5,1,6
ODOR,0,6,0,6
Wan Video 2.5 T2V,0,3,0,3
Wan Video 2.5 I2V,0,2,0,2
Imagen4,0,1,0,1
Nano Banana,0,1,0,1
OpenAI,0,1,0,1
Seedream,0,1,0,1
Sora 2,0,1,0,1
Veo 3,0,1,0,1
