base_model,total_lora_derivatives,nsfw_lora_derivatives,non_nsfw_unknown_lora_derivatives,percent_lora_derivatives_nsfw
Illustrious,201395,70037,131358,34.78
Pony,159796,50782,109014,31.78
SD 1.5,128927,15010,113917,11.64
SDXL 1.0,47512,8947,38565,18.83
Flux.1 D,49750,6685,43065,13.44
NoobAI,6383,1592,4791,24.94
Other,6566,931,5635,14.18
Hunyuan Video,1692,344,1348,20.33
Wan Video 14B t2v,926,312,614,33.69
Qwen,1088,306,782,28.13
Chroma,605,278,327,45.95
Wan Video 2.2 T2V-A14B,630,259,371,41.11
Wan Video 2.2 I2V-A14B,377,207,170,54.91
Flux.1 S,719,165,554,22.95
Wan Video 14B i2v 480p,188,115,73,61.17
Wan Video,413,100,313,24.21
NULL/unknown,396,87,309,21.97
SD 2.0,233,68,165,29.18
SDXL Hyper,134,59,75,44.03
SD 1.4,247,57,190,23.08
SD 3.5 Large,362,56,306,15.47
Wan Video 14B i2v 720p,124,54,70,43.55
SDXL 1.0 LCM,181,44,137,24.31
Wan Video 2.2 TI2V-5B,70,43,27,61.43
SDXL Lightning,115,38,77,33.04
Flux.1 Krea,154,35,119,22.73
Flux.1 Kontext,268,31,237,11.57
SD 2.1,223,30,193,13.45
