published_month,foundation_family,nsfw_lora_models,nsfw_lora_versions
2023-02,Illustrious,4,6
2023-02,Pony,1,1
2023-03,Illustrious,7,9
2023-03,Pony,3,4
2023-04,Illustrious,4,5
2023-04,Pony,4,6
2023-05,Illustrious,4,4
2023-05,Pony,12,18
2023-06,Illustrious,2,2
2023-06,Pony,39,48
2023-07,Illustrious,4,4
2023-07,Pony,25,27
2023-08,Illustrious,2,2
2023-08,Pony,16,17
2023-09,Illustrious,3,3
2023-09,Pony,22,23
2023-10,Illustrious,13,14
2023-10,Pony,27,31
2023-11,Illustrious,13,13
2023-11,Pony,30,34
2023-12,Illustrious,10,11
2023-12,Pony,28,32
2024-01,Illustrious,13,16
2024-01,Pony,50,51
2024-02,Illustrious,18,20
2024-02,Pony,98,122
2024-03,Illustrious,50,57
2024-03,Pony,577,662
2024-04,Illustrious,76,86
2024-04,Pony,1011,1126
2024-05,Illustrious,104,118
2024-05,Pony,1476,1606
2024-06,Illustrious,153,165
2024-06,Pony,2315,2510
2024-07,Illustrious,278,294
2024-07,Pony,3255,3668
2024-08,Illustrious,227,245
2024-08,Pony,4723,5132
2024-09,Illustrious,195,216
2024-09,Pony,4688,5064
2024-10,Illustrious,353,383
2024-10,Pony,5001,5367
2024-11,Illustrious,822,975
2024-11,Pony,4405,4821
2024-12,Illustrious,1976,2158
2024-12,Pony,4183,4572
2024-12,WAI-NSFW-Illustrious,1,1
2025-01,Illustrious,3849,4241
2025-01,Pony,3534,3871
2025-02,Illustrious,4292,4603
2025-02,Pony,2644,2826
2025-02,WAI-NSFW-Illustrious,1,1
2025-03,Illustrious,5634,6046
2025-03,Pony,2519,2729
2025-03,WAI-NSFW-Illustrious,3,4
2025-04,Illustrious,6067,6585
2025-04,Pony,2015,2179
2025-05,Illustrious,6860,7342
2025-05,Pony,1840,1999
2025-06,Illustrious,6279,6678
2025-06,Pony,1389,1484
2025-07,Illustrious,7184,7694
2025-07,Pony,1417,1513
2025-07,WAI-NSFW-Illustrious,4,4
2025-08,Illustrious,6851,7239
2025-08,Pony,1181,1229
2025-08,WAI-NSFW-Illustrious,5,5
2025-09,Illustrious,7832,8367
2025-09,Pony,1169,1250
2025-09,WAI-NSFW-Illustrious,3,3
2025-10,Illustrious,10630,11297
2025-10,Pony,1174,1265
2025-10,WAI-NSFW-Illustrious,3,3
2025-11,Illustrious,6824,7181
2025-11,Pony,759,799
2025-11,WAI-NSFW-Illustrious,2,2
